persona_id,country,prompt_variation,overall_happiness,gdp,social_support,health,freedom,generosity,corruption,response_text
1,North Macedonia,current,7.0,6.0,9.0,8.0,8.0,6.0,3.0,"[7, 6, 9, 8, 8, 6, 3]"
2,North Macedonia,current,7.0,5.0,9.0,8.0,7.0,6.0,3.0,"[7, 5, 9, 8, 7, 6, 3]"
3,North Macedonia,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
4,North Macedonia,current,7.0,5.0,9.0,7.0,8.0,6.0,3.0,"[7, 5, 9, 7, 8, 6, 3]"
5,North Macedonia,current,7.0,5.0,8.0,6.0,4.0,3.0,2.0,"[7, 5, 8, 6, 4, 3, 2]"
6,North Macedonia,current,6.0,5.0,8.0,7.0,8.0,3.0,4.0,"[6, 5, 8, 7, 8, 3, 4]"
7,North Macedonia,current,6.0,5.0,8.0,6.0,4.0,3.0,2.0,"[6, 5, 8, 6, 4, 3, 2]"
8,North Macedonia,current,7.0,6.0,7.0,8.0,8.0,5.0,3.0,"[7, 6, 7, 8, 8, 5, 3]"
9,North Macedonia,current,8.0,6.0,9.0,7.0,8.0,4.0,3.0,"[8, 6, 9, 7, 8, 4, 3]"
10,North Macedonia,current,6.0,5.0,7.0,6.0,8.0,3.0,4.0,"[6, 5, 7, 6, 8, 3, 4]"
11,North Macedonia,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
12,North Macedonia,current,6.0,5.0,9.0,7.0,6.0,3.0,4.0,"[6, 5, 9, 7, 6, 3, 4]"
13,North Macedonia,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
14,North Macedonia,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
15,North Macedonia,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
16,North Macedonia,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
17,North Macedonia,current,5.0,4.0,7.0,6.0,5.0,2.0,3.0,"[5, 4, 7, 6, 5, 2, 3]"
18,North Macedonia,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
19,North Macedonia,current,7.0,6.0,8.0,7.0,7.0,5.0,3.0,"[7, 6, 8, 7, 7, 5, 3]"
20,North Macedonia,current,3.0,2.0,5.0,4.0,1.0,2.0,3.0,"[3, 2, 5, 4, 1, 2, 3]"
1,Tanzania,current,7.0,6.0,9.0,8.0,7.0,5.0,3.0,"[7, 6, 9, 8, 7, 5, 3]"
2,Tanzania,current,7.0,5.0,9.0,7.0,6.0,8.0,3.0,"[7, 5, 9, 7, 6, 8, 3]"
3,Tanzania,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
4,Tanzania,current,7.0,5.0,8.0,7.0,6.0,5.0,3.0,"[7, 5, 8, 7, 6, 5, 3]"
5,Tanzania,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
6,Tanzania,current,6.0,5.0,8.0,7.0,8.0,3.0,4.0,"[6, 5, 8, 7, 8, 3, 4]"
7,Tanzania,current,6.0,5.0,8.0,6.0,4.0,3.0,2.0,"[6, 5, 8, 6, 4, 3, 2]"
8,Tanzania,current,7.0,6.0,7.0,8.0,8.0,6.0,3.0,"[7, 6, 7, 8, 8, 6, 3]"
9,Tanzania,current,8.0,5.0,10.0,6.0,7.0,4.0,3.0,"[8, 5, 10, 6, 7, 4, 3]"
10,Tanzania,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
11,Tanzania,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
12,Tanzania,current,6.0,5.0,9.0,7.0,6.0,4.0,3.0,"[6, 5, 9, 7, 6, 4, 3]"
13,Tanzania,current,6.0,5.0,8.0,6.0,7.0,4.0,3.0,"[6, 5, 8, 6, 7, 4, 3]"
14,Tanzania,current,7.0,5.0,8.0,6.0,6.0,4.0,3.0,"[7, 5, 8, 6, 6, 4, 3]"
15,Tanzania,current,7.0,5.0,9.0,6.0,6.0,3.0,2.0,"[7, 5, 9, 6, 6, 3, 2]"
16,Tanzania,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
17,Tanzania,current,6.0,5.0,8.0,7.0,4.0,2.0,3.0,"[6, 5, 8, 7, 4, 2, 3]"
18,Tanzania,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
19,Tanzania,current,7.0,6.0,8.0,7.0,7.0,5.0,4.0,"[7, 6, 8, 7, 7, 5, 4]"
20,Tanzania,current,3.0,2.0,5.0,4.0,1.0,2.0,3.0,"[3, 2, 5, 4, 1, 2, 3]"
1,Pakistan,current,7.0,6.0,9.0,8.0,7.0,5.0,3.0,"[7, 6, 9, 8, 7, 5, 3]"
2,Pakistan,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
3,Pakistan,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
4,Pakistan,current,7.0,5.0,9.0,7.0,6.0,8.0,3.0,"[7, 5, 9, 7, 6, 8, 3]"
5,Pakistan,current,6.0,5.0,8.0,6.0,4.0,3.0,2.0,"[6, 5, 8, 6, 4, 3, 2]"
6,Pakistan,current,6.0,5.0,8.0,7.0,8.0,3.0,2.0,"[6, 5, 8, 7, 8, 3, 2]"
7,Pakistan,current,6.0,5.0,8.0,6.0,4.0,3.0,2.0,"[6, 5, 8, 6, 4, 3, 2]"
8,Pakistan,current,6.0,7.0,6.0,7.0,8.0,4.0,3.0,"[6, 7, 6, 7, 8, 4, 3]"
9,Pakistan,current,7.0,5.0,10.0,6.0,6.0,3.0,2.0,"[7, 5, 10, 6, 6, 3, 2]"
10,Pakistan,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
11,Pakistan,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
12,Pakistan,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
13,Pakistan,current,6.0,5.0,8.0,6.0,7.0,3.0,2.0,"[6, 5, 8, 6, 7, 3, 2]"
14,Pakistan,current,7.0,5.0,8.0,6.0,7.0,3.0,2.0,"[7, 5, 8, 6, 7, 3, 2]"
15,Pakistan,current,6.0,5.0,9.0,7.0,6.0,4.0,3.0,"[6, 5, 9, 7, 6, 4, 3]"
16,Pakistan,current,6.0,5.0,7.0,6.0,8.0,6.0,3.0,"[6, 5, 7, 6, 8, 6, 3]"
17,Pakistan,current,5.0,4.0,7.0,6.0,4.0,2.0,3.0,"[5, 4, 7, 6, 4, 2, 3]"
18,Pakistan,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
19,Pakistan,current,7.0,6.0,8.0,7.0,6.0,5.0,3.0,"[7, 6, 8, 7, 6, 5, 3]"
20,Pakistan,current,3.0,2.0,5.0,4.0,1.0,2.0,3.0,"[3, 2, 5, 4, 1, 2, 3]"
1,Saudi Arabia,current,7.0,6.0,9.0,8.0,7.0,5.0,4.0,"[7, 6, 9, 8, 7, 5, 4]"
2,Saudi Arabia,current,8.0,7.0,9.0,8.0,7.0,6.0,5.0,"[8, 7, 9, 8, 7, 6, 5]"
3,Saudi Arabia,current,7.0,6.0,9.0,7.0,6.0,5.0,4.0,"[7, 6, 9, 7, 6, 5, 4]"
4,Saudi Arabia,current,8.0,7.0,9.0,8.0,7.0,6.0,3.0,"[8, 7, 9, 8, 7, 6, 3]"
5,Saudi Arabia,current,7.0,6.0,9.0,7.0,6.0,5.0,4.0,"[7, 6, 9, 7, 6, 5, 4]"
6,Saudi Arabia,current,6.0,5.0,8.0,7.0,8.0,4.0,5.0,"[6, 5, 8, 7, 8, 4, 5]"
7,Saudi Arabia,current,6.0,5.0,8.0,6.0,5.0,3.0,4.0,"[6, 5, 8, 6, 5, 3, 4]"
8,Saudi Arabia,current,7.0,8.0,6.0,7.0,8.0,5.0,4.0,"[7, 8, 6, 7, 8, 5, 4]"
9,Saudi Arabia,current,8.0,7.0,10.0,6.0,8.0,6.0,5.0,"[8, 7, 10, 6, 8, 6, 5]"
10,Saudi Arabia,current,7.0,5.0,7.0,6.0,8.0,4.0,5.0,"[7, 5, 7, 6, 8, 4, 5]"
11,Saudi Arabia,current,6.0,7.0,8.0,6.0,5.0,6.0,4.0,"[6, 7, 8, 6, 5, 6, 4]"
12,Saudi Arabia,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
13,Saudi Arabia,current,7.0,6.0,8.0,7.0,6.0,5.0,4.0,"[7, 6, 8, 7, 6, 5, 4]"
14,Saudi Arabia,current,7.0,5.0,8.0,7.0,6.0,4.0,5.0,"[7, 5, 8, 7, 6, 4, 5]"
15,Saudi Arabia,current,7.0,6.0,9.0,7.0,6.0,5.0,4.0,"[7, 6, 9, 7, 6, 5, 4]"
16,Saudi Arabia,current,6.0,5.0,7.0,6.0,8.0,6.0,5.0,"[6, 5, 7, 6, 8, 6, 5]"
17,Saudi Arabia,current,5.0,6.0,7.0,6.0,4.0,3.0,5.0,"[5, 6, 7, 6, 4, 3, 5]"
18,Saudi Arabia,current,6.0,5.0,7.0,6.0,4.0,3.0,5.0,"[6, 5, 7, 6, 4, 3, 5]"
19,Saudi Arabia,current,8.0,7.0,9.0,8.0,7.0,6.0,5.0,"[8, 7, 9, 8, 7, 6, 5]"
20,Saudi Arabia,current,3.0,4.0,6.0,5.0,2.0,3.0,4.0,"[3, 4, 6, 5, 2, 3, 4]"
1,Montenegro,current,7.0,6.0,9.0,8.0,8.0,5.0,3.0,"[7, 6, 9, 8, 8, 5, 3]"
2,Montenegro,current,7.0,6.0,9.0,8.0,7.0,6.0,3.0,"[7, 6, 9, 8, 7, 6, 3]"
3,Montenegro,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
4,Montenegro,current,7.0,5.0,9.0,7.0,8.0,6.0,3.0,"[7, 5, 9, 7, 8, 6, 3]"
5,Montenegro,current,7.0,6.0,9.0,7.0,6.0,4.0,3.0,"[7, 6, 9, 7, 6, 4, 3]"
6,Montenegro,current,6.0,5.0,8.0,7.0,8.0,3.0,4.0,"[6, 5, 8, 7, 8, 3, 4]"
7,Montenegro,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
8,Montenegro,current,7.0,6.0,7.0,8.0,8.0,5.0,3.0,"[7, 6, 7, 8, 8, 5, 3]"
9,Montenegro,current,8.0,6.0,9.0,7.0,8.0,5.0,3.0,"[8, 6, 9, 7, 8, 5, 3]"
10,Montenegro,current,7.0,5.0,8.0,7.0,8.0,4.0,3.0,"[7, 5, 8, 7, 8, 4, 3]"
11,Montenegro,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
12,Montenegro,current,6.0,5.0,9.0,7.0,6.0,4.0,3.0,"[6, 5, 9, 7, 6, 4, 3]"
13,Montenegro,current,7.0,5.0,8.0,6.0,7.0,4.0,3.0,"[7, 5, 8, 6, 7, 4, 3]"
14,Montenegro,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
15,Montenegro,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
16,Montenegro,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
17,Montenegro,current,5.0,4.0,7.0,6.0,5.0,3.0,2.0,"[5, 4, 7, 6, 5, 3, 2]"
18,Montenegro,current,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
19,Montenegro,current,7.0,6.0,8.0,7.0,8.0,5.0,4.0,"[7, 6, 8, 7, 8, 5, 4]"
20,Montenegro,current,3.0,2.0,6.0,5.0,2.0,3.0,6.0,"[3, 2, 6, 5, 2, 3, 6]"
1,Uruguay,current,8.0,7.0,9.0,8.0,8.0,6.0,5.0,"[8, 7, 9, 8, 8, 6, 5]"
2,Uruguay,current,8.0,6.0,9.0,7.0,8.0,6.0,5.0,"[8, 6, 9, 7, 8, 6, 5]"
3,Uruguay,current,7.0,5.0,9.0,8.0,6.0,4.0,3.0,"[7, 5, 9, 8, 6, 4, 3]"
4,Uruguay,current,8.0,6.0,9.0,7.0,8.0,6.0,3.0,"[8, 6, 9, 7, 8, 6, 3]"
5,Uruguay,current,7.0,6.0,9.0,7.0,6.0,4.0,3.0,"[7, 6, 9, 7, 6, 4, 3]"
6,Uruguay,current,7.0,6.0,9.0,8.0,8.0,4.0,5.0,"[7, 6, 9, 8, 8, 4, 5]"
7,Uruguay,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
8,Uruguay,current,7.0,6.0,7.0,8.0,8.0,5.0,3.0,"[7, 6, 7, 8, 8, 5, 3]"
9,Uruguay,current,8.0,6.0,10.0,7.0,6.0,5.0,3.0,"[8, 6, 10, 7, 6, 5, 3]"
10,Uruguay,current,7.0,5.0,8.0,7.0,8.0,4.0,3.0,"[7, 5, 8, 7, 8, 4, 3]"
11,Uruguay,current,6.0,5.0,7.0,6.0,4.0,3.0,5.0,"[6, 5, 7, 6, 4, 3, 5]"
12,Uruguay,current,7.0,5.0,9.0,8.0,6.0,3.0,4.0,"[7, 5, 9, 8, 6, 3, 4]"
13,Uruguay,current,7.0,6.0,8.0,7.0,7.0,5.0,4.0,"[7, 6, 8, 7, 7, 5, 4]"
14,Uruguay,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
15,Uruguay,current,7.0,6.0,9.0,7.0,8.0,6.0,3.0,"[7, 6, 9, 7, 8, 6, 3]"
16,Uruguay,current,6.0,5.0,8.0,7.0,6.0,7.0,5.0,"[6, 5, 8, 7, 6, 7, 5]"
17,Uruguay,current,6.0,5.0,8.0,7.0,6.0,3.0,4.0,"[6, 5, 8, 7, 6, 3, 4]"
18,Uruguay,current,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
19,Uruguay,current,8.0,7.0,9.0,8.0,7.0,6.0,5.0,"[8, 7, 9, 8, 7, 6, 5]"
20,Uruguay,current,3.0,4.0,6.0,5.0,2.0,3.0,6.0,"[3, 4, 6, 5, 2, 3, 6]"
1,Mauritius,current,7.0,6.0,9.0,8.0,8.0,6.0,3.0,"[7, 6, 9, 8, 8, 6, 3]"
2,Mauritius,current,8.0,6.0,9.0,8.0,7.0,6.0,3.0,"[8, 6, 9, 8, 7, 6, 3]"
3,Mauritius,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
4,Mauritius,current,7.0,6.0,9.0,7.0,8.0,6.0,3.0,"[7, 6, 9, 7, 8, 6, 3]"
5,Mauritius,current,7.0,6.0,9.0,7.0,6.0,4.0,3.0,"[7, 6, 9, 7, 6, 4, 3]"
6,Mauritius,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
7,Mauritius,current,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
8,Mauritius,current,7.0,6.0,7.0,8.0,8.0,6.0,4.0,"[7, 6, 7, 8, 8, 6, 4]"
9,Mauritius,current,8.0,6.0,10.0,7.0,8.0,5.0,3.0,"[8, 6, 10, 7, 8, 5, 3]"
10,Mauritius,current,7.0,5.0,8.0,7.0,8.0,4.0,3.0,"[7, 5, 8, 7, 8, 4, 3]"
11,Mauritius,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
12,Mauritius,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
13,Mauritius,current,7.0,6.0,8.0,7.0,6.0,5.0,3.0,"[7, 6, 8, 7, 6, 5, 3]"
14,Mauritius,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
15,Mauritius,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
16,Mauritius,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
17,Mauritius,current,6.0,5.0,8.0,7.0,4.0,3.0,6.0,"[6, 5, 8, 7, 4, 3, 6]"
18,Mauritius,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
19,Mauritius,current,8.0,7.0,9.0,8.0,7.0,6.0,3.0,"[8, 7, 9, 8, 7, 6, 3]"
20,Mauritius,current,3.0,4.0,6.0,5.0,2.0,3.0,2.0,"[3, 4, 6, 5, 2, 3, 2]"
1,Spain,current,7.0,6.0,9.0,8.0,8.0,5.0,4.0,"[7, 6, 9, 8, 8, 5, 4]"
2,Spain,current,8.0,7.0,9.0,8.0,7.0,6.0,5.0,"[8, 7, 9, 8, 7, 6, 5]"
3,Spain,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
4,Spain,current,8.0,6.0,9.0,7.0,8.0,6.0,3.0,"[8, 6, 9, 7, 8, 6, 3]"
5,Spain,current,7.0,6.0,9.0,7.0,6.0,4.0,3.0,"[7, 6, 9, 7, 6, 4, 3]"
6,Spain,current,7.0,5.0,9.0,8.0,8.0,3.0,4.0,"[7, 5, 9, 8, 8, 3, 4]"
7,Spain,current,6.0,5.0,8.0,6.0,7.0,4.0,3.0,"[6, 5, 8, 6, 7, 4, 3]"
8,Spain,current,7.0,6.0,7.0,8.0,8.0,5.0,3.0,"[7, 6, 7, 8, 8, 5, 3]"
9,Spain,current,8.0,6.0,10.0,7.0,8.0,5.0,3.0,"[8, 6, 10, 7, 8, 5, 3]"
10,Spain,current,7.0,5.0,8.0,7.0,8.0,6.0,3.0,"[7, 5, 8, 7, 8, 6, 3]"
11,Spain,current,6.0,5.0,7.0,6.0,4.0,3.0,5.0,"[6, 5, 7, 6, 4, 3, 5]"
12,Spain,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
13,Spain,current,7.0,6.0,9.0,7.0,8.0,4.0,3.0,"[7, 6, 9, 7, 8, 4, 3]"
14,Spain,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
15,Spain,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
16,Spain,current,6.0,5.0,8.0,7.0,6.0,4.0,3.0,"[6, 5, 8, 7, 6, 4, 3]"
17,Spain,current,6.0,5.0,8.0,7.0,4.0,2.0,3.0,"[6, 5, 8, 7, 4, 2, 3]"
18,Spain,current,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
19,Spain,current,8.0,7.0,9.0,8.0,7.0,6.0,5.0,"[8, 7, 9, 8, 7, 6, 5]"
20,Spain,current,3.0,4.0,6.0,5.0,2.0,3.0,6.0,"[3, 4, 6, 5, 2, 3, 6]"
1,Niger,current,7.0,6.0,9.0,8.0,7.0,5.0,4.0,"[7, 6, 9, 8, 7, 5, 4]"
2,Niger,current,7.0,5.0,9.0,7.0,6.0,4.0,3.0,"[7, 5, 9, 7, 6, 4, 3]"
3,Niger,current,6.0,5.0,8.0,6.0,7.0,3.0,2.0,"[6, 5, 8, 6, 7, 3, 2]"
4,Niger,current,7.0,5.0,9.0,7.0,8.0,6.0,3.0,"[7, 5, 9, 7, 8, 6, 3]"
5,Niger,current,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
6,Niger,current,6.0,5.0,8.0,7.0,8.0,3.0,4.0,"[6, 5, 8, 7, 8, 3, 4]"
7,Niger,current,6.0,5.0,8.0,6.0,5.0,3.0,2.0,"[6, 5, 8, 6, 5, 3, 2]"
8,Niger,current,7.0,6.0,7.0,6.0,8.0,5.0,3.0,"[7, 6, 7, 6, 8, 5, 3]"
9,Niger,current,7.0,5.0,10.0,6.0,5.0,3.0,2.0,"[7, 5, 10, 6, 5, 3, 2]"
10,Niger,current,6.0,5.0,7.0,6.0,8.0,3.0,4.0,"[6, 5, 7, 6, 8, 3, 4]"
11,Niger,current,6.0,5.0,7.0,6.0,5.0,3.0,2.0,"[6, 5, 7, 6, 5, 3, 2]"
12,Niger,current,6.0,5.0,9.0,7.0,6.0,3.0,4.0,"[6, 5, 9, 7, 6, 3, 4]"
13,Niger,current,6.0,5.0,8.0,6.0,7.0,4.0,3.0,"[6, 5, 8, 6, 7, 4, 3]"
14,Niger,current,6.0,5.0,7.0,6.0,5.0,4.0,3.0,"[6, 5, 7, 6, 5, 4, 3]"
15,Niger,current,6.0,5.0,8.0,6.0,7.0,4.0,3.0,"[6, 5, 8, 6, 7, 4, 3]"
16,Niger,current,6.0,5.0,8.0,6.0,7.0,4.0,3.0,"[6, 5, 8, 6, 7, 4, 3]"
17,Niger,current,5.0,4.0,7.0,6.0,5.0,3.0,2.0,"[5, 4, 7, 6, 5, 3, 2]"
18,Niger,current,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
19,Niger,current,7.0,5.0,8.0,7.0,6.0,4.0,3.0,"[7, 5, 8, 7, 6, 4, 3]"
20,Niger,current,3.0,2.0,5.0,4.0,1.0,2.0,3.0,"[3, 2, 5, 4, 1, 2, 3]"
1,Bulgaria,simplified,8.0,7.0,9.0,8.0,9.0,6.0,4.0,"[8, 7, 9, 8, 9, 6, 4]"
2,Bulgaria,simplified,8.0,6.0,9.0,7.0,8.0,7.0,4.0,"[8, 6, 9, 7, 8, 7, 4]"
3,Bulgaria,simplified,7.0,5.0,8.0,7.0,6.0,3.0,4.0,"[7, 5, 8, 7, 6, 3, 4]"
4,Bulgaria,simplified,8.0,5.0,9.0,7.0,8.0,6.0,3.0,"[8, 5, 9, 7, 8, 6, 3]"
5,Bulgaria,simplified,7.0,6.0,8.0,7.0,6.0,4.0,3.0,"[7, 6, 8, 7, 6, 4, 3]"
6,Bulgaria,simplified,6.0,5.0,8.0,7.0,8.0,2.0,3.0,"[6, 5, 8, 7, 8, 2, 3]"
7,Bulgaria,simplified,6.0,5.0,8.0,6.0,5.0,3.0,4.0,"[6, 5, 8, 6, 5, 3, 4]"
8,Bulgaria,simplified,7.0,8.0,6.0,7.0,9.0,3.0,4.0,"[7, 8, 6, 7, 9, 3, 4]"
9,Bulgaria,simplified,8.0,5.0,10.0,6.0,8.0,3.0,4.0,"[8, 5, 10, 6, 8, 3, 4]"
10,Bulgaria,simplified,7.0,5.0,8.0,7.0,9.0,3.0,4.0,"[7, 5, 8, 7, 9, 3, 4]"
11,Bulgaria,simplified,6.0,5.0,7.0,6.0,5.0,3.0,4.0,"[6, 5, 7, 6, 5, 3, 4]"
12,Bulgaria,simplified,6.0,5.0,8.0,7.0,6.0,3.0,4.0,"[6, 5, 8, 7, 6, 3, 4]"
13,Bulgaria,simplified,7.0,5.0,8.0,6.0,7.0,3.0,4.0,"[7, 5, 8, 6, 7, 3, 4]"
14,Bulgaria,simplified,7.0,5.0,8.0,7.0,6.0,3.0,4.0,"[7, 5, 8, 7, 6, 3, 4]"
15,Bulgaria,simplified,7.0,5.0,9.0,7.0,8.0,6.0,3.0,"[7, 5, 9, 7, 8, 6, 3]"
16,Bulgaria,simplified,6.0,5.0,8.0,7.0,6.0,9.0,3.0,"[6, 5, 8, 7, 6, 9, 3]"
17,Bulgaria,simplified,5.0,4.0,7.0,6.0,3.0,2.0,4.0,"[5, 4, 7, 6, 3, 2, 4]"
18,Bulgaria,simplified,6.0,5.0,7.0,6.0,4.0,3.0,2.0,"[6, 5, 7, 6, 4, 3, 2]"
19,Bulgaria,simplified,8.0,7.0,9.0,8.0,8.0,6.0,3.0,"[8, 7, 9, 8, 8, 6, 3]"
20,Bulgaria,simplified,3.0,2.0,5.0,6.0,4.0,1.0,3.0,"[3, 2, 5, 6, 4, 1, 3]"
1,North Macedonia,simplified,8.0,7.0,9.0,8.0,9.0,6.0,4.0,"[8, 7, 9, 8, 9, 6, 4]"
2,North Macedonia,simplified,8.0,6.0,9.0,7.0,8.0,7.0,4.0,"[8, 6, 9, 7, 8, 7, 4]"
